experiment,dataset,method,degree,regularization,lambda1,lambda2,batch_size,normalized,condition_number,loss,risk,l1,l2,iterations,epochs,grad_evals,time_seconds,status,converged,weights,alpha0,decay,clipped_updates,max_grad_norm,linear_solver,mu0,mu_final,accepted_steps,rejected_steps,reg_label
base_models,almost_linear,levenberg_marquardt,4,none,0.0,0.0,,True,214.63444296035368,0.07925301916404727,0.07925301916404727,0.0,0.0,5,0,5,0.0003905000048689544,converged,True,"[-0.9796914892, 3.546773439, -0.1397437095, -0.03096981259, 0.04718109666]",,,,,solve,0.01,0.0003125,5.0,0.0,
base_models,almost_linear,sgd,5,none,0.0,0.0,1,True,1390.151807674734,0.08312216069037177,0.08312216069037177,0.0,0.0,360,360,54000,0.7173054000013508,max_epochs_reached,False,"[-0.9754434296, 3.503344241, -0.1424122315, 0.03423957957, 0.04371980548, -0.006075056653]",0.018,0.02,578.0,100.0,,,,,,
base_models,almost_linear,mini_batch,5,none,0.0,0.0,32,True,1390.151807674734,0.10799778237840592,0.10799778237840592,0.0,0.0,360,360,1800,0.03983759999391623,max_epochs_reached,False,"[-0.9630860447, 2.795205344, -0.1842880849, 0.990927866, 0.06154657275, -0.285600255]",0.025,0.02,0.0,100.0,,,,,,
base_models,almost_linear,gauss_newton,5,none,0.0,0.0,,True,1390.151807674734,0.07914025221111809,0.07914025221111809,0.0,0.0,2,0,2,0.00015259999781847,converged,True,"[-0.9796914892, 3.508627067, -0.1397437095, 0.02838833814, 0.04718109666, -0.01781219535]",,,,,solve,,,,,
base_models,almost_linear,levenberg_marquardt,5,none,0.0,0.0,,True,1390.151807674734,0.07914025221111806,0.07914025221111806,0.0,0.0,6,0,6,0.000443900004029274,converged,True,"[-0.9796914892, 3.508627067, -0.1397437095, 0.02838833814, 0.04718109666, -0.01781219535]",,,,,solve,0.01,0.0003125,5.0,0.0,
base_models,nonlinear,analytic,1,none,0.0,0.0,,True,1.0,0.6915908380285112,0.6915908380285112,0.0,0.0,1,0,0,3.060000017285347e-05,closed_form,False,"[0.2988863338, 0.1420804087]",,,,,,,,,,
base_models,nonlinear,sgd,1,none,0.0,0.0,1,True,1.0,0.6917276141641734,0.6917276141641734,0.0,0.0,360,360,54000,0.7074537000007695,max_epochs_reached,False,"[0.3025960099, 0.1531715961]",0.018,0.02,0.0,100.0,,,,,,
base_models,nonlinear,mini_batch,1,none,0.0,0.0,32,True,1.0,0.6915971691439378,0.6915971691439378,0.0,0.0,360,360,1800,0.03457000000344124,max_epochs_reached,False,"[0.2965297113, 0.1429621378]",0.025,0.02,0.0,100.0,,,,,,
base_models,nonlinear,gauss_newton,1,none,0.0,0.0,,True,1.0,0.6915908380285112,0.6915908380285112,0.0,0.0,2,0,2,0.00013420000323094428,converged,True,"[0.2988863338, 0.1420804087]",,,,,solve,,,,,
base_models,nonlinear,levenberg_marquardt,1,none,0.0,0.0,,True,1.0,0.6915908380285112,0.6915908380285112,0.0,0.0,4,0,4,0.0003173000004608184,converged,True,"[0.2988863338, 0.1420804087]",,,,,solve,0.01,0.000625,4.0,0.0,
base_models,nonlinear,sgd,2,none,0.0,0.0,1,True,7.6701851647563615,0.6870742231597607,0.6870742231597607,0.0,0.0,360,360,54000,0.6943785000039497,max_epochs_reached,False,"[0.3966648284, 0.1439349818, -0.06668236149]",0.018,0.02,0.0,100.0,,,,,,
base_models,nonlinear,mini_batch,2,none,0.0,0.0,32,True,7.6701851647563615,0.6858510386511458,0.6858510386511458,0.0,0.0,360,360,1800,0.03453470001113601,max_epochs_reached,False,"[0.3810440296, 0.143221652, -0.08494871704]",0.025,0.02,0.0,100.0,,,,,,
base_models,nonlinear,gauss_newton,2,none,0.0,0.0,,True,7.6701851647563615,0.6858419227686852,0.6858419227686852,0.0,0.0,2,0,2,0.00013610000314656645,converged,True,"[0.3836631136, 0.1420804087, -0.08477677983]",,,,,solve,,,,,
base_models,nonlinear,levenberg_marquardt,2,none,0.0,0.0,,True,7.6701851647563615,0.685841922768685,0.685841922768685,0.0,0.0,5,0,5,0.00036380000528879464,converged,True,"[0.3836631136, 0.1420804087, -0.08477677983]",,,,,solve,0.01,0.0025,3.0,1.0,
base_models,nonlinear,sgd,3,none,0.0,0.0,1,True,36.20779402181334,0.6939528172686075,0.6939528172686075,0.0,0.0,360,360,54000,0.7226311999984318,max_epochs_reached,False,"[0.3830511639, 0.1734651172, -0.08772897526, 0.0292052926]",0.018,0.02,0.0,100.0,,,,,,
base_models,nonlinear,mini_batch,3,none,0.0,0.0,32,True,36.20779402181334,0.6857464480167679,0.6857464480167679,0.0,0.0,360,360,1800,0.0351863000105368,max_epochs_reached,False,"[0.3856888931, 0.1592008315, -0.08454462972, -0.01221723144]",0.025,0.02,0.0,100.0,,,,,,
base_models,nonlinear,gauss_newton,3,none,0.0,0.0,,True,36.20779402181334,0.6857147715298536,0.6857147715298536,0.0,0.0,2,0,2,0.00014150000060908496,converged,True,"[0.3836631136, 0.1679220678, -0.08477677983, -0.01435732812]",,,,,solve,,,,,
base_models,nonlinear,levenberg_marquardt,3,none,0.0,0.0,,True,36.20779402181334,0.6857147715298536,0.6857147715298536,0.0,0.0,5,0,5,0.00041989999590441585,converged,True,"[0.3836631136, 0.1679220678, -0.08477677983, -0.01435732812]",,,,,solve,0.01,0.0003125,5.0,0.0,
base_models,nonlinear,sgd,4,none,0.0,0.0,1,True,214.63444296035382,0.6427783323763151,0.6427783323763151,0.0,0.0,360,360,54000,0.6967350999912014,max_epochs_reached,False,"[0.1350536548, 0.1424235518, 0.7070119017, 0.01901108443, -0.3256526875]",0.018,0.02,31.0,100.0,,,,,,
base_models,nonlinear,mini_batch,4,none,0.0,0.0,32,True,214.63444296035382,0.639176882641122,0.639176882641122,0.0,0.0,360,360,1800,0.035332800005562603,max_epochs_reached,False,"[0.1987290648, 0.1571695901, 0.5761141783, -0.01083807325, -0.2625627011]",0.025,0.02,0.0,100.0,,,,,,
base_models,nonlinear,gauss_newton,4,none,0.0,0.0,,True,214.63444296035382,0.6373857547502049,0.6373857547502049,0.0,0.0,2,0,2,0.00014230000670067966,converged,True,"[0.1362896824, 0.1679220678, 0.7399724162, -0.01435732812, -0.320783324]",,,,,solve,,,,,
base_models,nonlinear,levenberg_marquardt,4,none,0.0,0.0,,True,214.63444296035382,0.6373857547502046,0.6373857547502046,0.0,0.0,25,0,25,0.001792900002328679,converged,True,"[0.1362896824, 0.1679220678, 0.7399724162, -0.01435732812, -0.320783324]",,,,,solve,0.01,40.96,6.0,18.0,
base_models,nonlinear,sgd,5,none,0.0,0.0,1,True,1390.1518076748573,0.23901379366916667,0.23901379366916667,0.0,0.0,360,360,54000,0.7119473000057042,max_epochs_reached,False,"[0.1294559625, 2.493107383, 0.7317380577, -3.58837581, -0.3453995159, 1.084267289]",0.018,0.02,736.0,100.0,,,,,,
base_models,nonlinear,mini_batch,5,none,0.0,0.0,32,True,1390.1518076748573,0.3668848727589127,0.3668848727589127,0.0,0.0,360,360,1800,0.03573950000281911,max_epochs_reached,False,"[0.1997811198, 0.8987093247, 0.5727555289, -1.478722919, -0.2625541085, 0.4836094305]",0.025,0.02,0.0,100.0,,,,,,
base_models,nonlinear,gauss_newton,5,none,0.0,0.0,,True,1390.1518076748573,0.22470483415799086,0.22470483415799086,0.0,0.0,2,0,2,0.00014709999959450215,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,,,,,
base_models,nonlinear,levenberg_marquardt,5,none,0.0,0.0,,True,1390.1518076748573,0.2247048341579907,0.2247048341579907,0.0,0.0,7,0,7,0.0005497999954968691,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,0.01,0.000625,5.0,1.0,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,1,True,1390.1518076748573,0.25659886695008566,0.25659886695008566,0.0,0.0,480,480,72000,0.9364455999893835,max_epochs_reached,False,"[0.1407714258, 2.470265234, 0.705967798, -3.587669261, -0.3458996638, 1.100045857]",0.022,0.018,1238.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,4,True,1390.1518076748573,0.22913905819449318,0.22913905819449318,0.0,0.0,480,480,18240,0.24995890000718646,max_epochs_reached,False,"[0.1388944418, 2.423721739, 0.7235097638, -3.540832567, -0.320100445, 1.046973254]",0.022,0.018,17.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,8,True,1390.1518076748573,0.23315266449667077,0.23315266449667077,0.0,0.0,480,480,9120,0.1364303000009386,max_epochs_reached,False,"[0.1408519089, 2.125600456, 0.7269018095, -3.136178545, -0.310139579, 0.93995959]",0.022,0.018,0.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,16,True,1390.1518076748573,0.2706506683908378,0.2706506683908378,0.0,0.0,480,480,4800,0.08093939999525901,max_epochs_reached,False,"[0.1510333852, 1.573887974, 0.689901416, -2.392405239, -0.3052629973, 0.7397991625]",0.022,0.018,0.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,32,True,1390.1518076748573,0.3589353366978735,0.3589353366978735,0.0,0.0,480,480,2400,0.047515199999907054,max_epochs_reached,False,"[0.1947326669, 0.9436139005, 0.5839503374, -1.53718765, -0.2647384975, 0.4997773508]",0.022,0.018,0.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,64,True,1390.1518076748573,0.43312133412667275,0.43312133412667275,0.0,0.0,480,480,1440,0.03493370000796858,max_epochs_reached,False,"[0.2386824055, 0.5773536688, 0.4676811377, -1.042493826, -0.2244968254, 0.3672877281]",0.022,0.018,0.0,100.0,,,,,,
batch_size,nonlinear,mini_batch,5,none,0.0,0.0,150,True,1390.1518076748573,0.5517412619007394,0.5517412619007394,0.0,0.0,480,480,480,0.03742549999151379,max_epochs_reached,False,"[0.3075444266, 0.1381511619, 0.2645483635, -0.4220055096, -0.1500597028, 0.1877942766]",0.022,0.018,0.0,100.0,,,,,,
regularization,nonlinear,mini_batch,10,none,0.0,0.0,32,True,29941797.45955508,0.4005517855078917,0.4005517855078917,0.0,0.0,1000,1000,5000,0.09853770000336226,max_epochs_reached,False,"[0.2560427446, 0.216730569, 0.2028798783, -0.0380204362, 0.08672004407, -0.1507893246, -0.03108903305, -0.1600686054, -0.1155161591, 0.08755438241, 0.03687420583]",0.002,0.02,727.0,1000.0,,,,,,none
regularization,nonlinear,mini_batch,10,L1,0.0001,0.0,32,True,29941797.45955508,0.3999585508463096,0.3998368409597754,0.00012170988653422271,0.0,1000,1000,5000,0.14290440001059324,max_epochs_reached,False,"[0.261410137, 0.2110414868, 0.233585594, -0.0490872719, 0.1163514532, -0.1548550405, -0.02432124105, -0.147640409, -0.151687896, 0.0827832881, 0.04574518481]",0.002,0.02,696.0,1000.0,,,,,,L1_1e-4
regularization,nonlinear,mini_batch,10,L1,0.001,0.0,32,True,29941797.45955508,0.39740674282972477,0.39615875401134226,0.0012479888183825139,0.0,1000,1000,5000,0.1459783000027528,max_epochs_reached,False,"[0.2676282579, 0.2158480025, 0.242188343, -0.05537232175, 0.1210720155, -0.1632435476, -0.02568860084, -0.1381175401, -0.1575597253, 0.08128611879, 0.04761260309]",0.002,0.02,705.0,1000.0,,,,,,L1_1e-3
regularization,nonlinear,mini_batch,10,L1,0.01,0.0,32,True,29941797.45955508,0.421824235746748,0.4109820795478565,0.010842156198891513,0.0,1000,1000,5000,0.1447900000057416,max_epochs_reached,False,"[0.2591287275, 0.2278665346, 0.1880105243, -0.02202742092, 0.06948086268, -0.1508177498, -0.02877813566, -0.1724502121, -0.1028086518, 0.09107914991, 0.03089637816]",0.002,0.02,722.0,1000.0,,,,,,L1_1e-2
regularization,nonlinear,mini_batch,10,L2,0.0,0.0001,32,True,29941797.45955508,0.39925142055460655,0.39923184022859565,0.0,1.9580326010925245e-05,1000,1000,5000,0.1263388999941526,max_epochs_reached,False,"[0.2613832803, 0.2146522784, 0.2335356005, -0.04647852766, 0.1163805085, -0.154753278, -0.02433345842, -0.1510619944, -0.1516837231, 0.08381384477, 0.04572716532]",0.002,0.02,686.0,1000.0,,,,,,L2_1e-4
regularization,nonlinear,mini_batch,10,L2,0.0,0.001,32,True,29941797.45955508,0.3993104952242452,0.3991248347087758,0.0,0.0001856605154693946,1000,1000,5000,0.1284769000048982,max_epochs_reached,False,"[0.2639480243, 0.2100359225, 0.2290606394, -0.05745240028, 0.1086974151, -0.1611089102, -0.02862070487, -0.1363711671, -0.1421675036, 0.0805875646, 0.04338742091]",0.002,0.02,716.0,1000.0,,,,,,L2_1e-3
regularization,nonlinear,mini_batch,10,L2,0.0,0.01,32,True,29941797.45955508,0.4105343029321395,0.4087948232187867,0.0,0.0017394797133528104,1000,1000,5000,0.1286757000052603,max_epochs_reached,False,"[0.2567652764, 0.2308972202, 0.1962478792, -0.02867384136, 0.08050515423, -0.1506094035, -0.03203033871, -0.1723351461, -0.1094741039, 0.09128090999, 0.03305486865]",0.002,0.02,727.0,1000.0,,,,,,L2_1e-2
regularization,nonlinear,mini_batch,10,ElasticNet,0.001,0.001,32,True,29941797.45955508,0.40476651769521044,0.40339128085285625,0.0011933999091507095,0.0001818369332034863,1000,1000,5000,0.15168579999590293,max_epochs_reached,False,"[0.2644115357, 0.1783212758, 0.241627036, -0.07698144577, 0.1219119892, -0.1594769686, -0.0243569779, -0.1101451513, -0.1576852578, 0.07352892513, 0.04936488151]",0.002,0.02,715.0,1000.0,,,,,,ElasticNet_1e-3
regularization,nonlinear,mini_batch,10,L1,0.1,0.0,32,True,29941797.45955508,0.5292130366139458,0.45696997320494714,0.07224306340899868,0.0,1000,1000,5000,0.14264410000760108,max_epochs_reached,False,"[0.2814497791, 0.1455870911, 0.1165422612, -5.299523291e-05, 0.0128080125, -0.1151817191, -0.0004835128798, -0.1612960007, -0.06999043797, 0.08239290192, 0.01809570148]",0.002,0.02,756.0,1000.0,,,,,,L1_1e-1
regularization,nonlinear,mini_batch,10,L2,0.0,0.1,32,True,29941797.45955508,0.4472195600264056,0.4303284545139243,0.0,0.01689110551248132,1000,1000,5000,0.14779489999637008,max_epochs_reached,False,"[0.2601394418, 0.2469909334, 0.160566439, 0.005067372625, 0.05172398378, -0.1388301638, -0.03839990021, -0.2062792804, -0.07507435011, 0.09995597174, 0.02229442182]",0.002,0.02,766.0,1000.0,,,,,,L2_1e-1
regularization,nonlinear,mini_batch,10,ElasticNet,0.1,0.1,32,True,29941797.45955508,0.5165723047374979,0.44038304106214504,0.06875146777403422,0.007437795901318662,1000,1000,5000,0.15587550000054762,max_epochs_reached,False,"[0.2816624668, 0.1143737847, 0.1222926829, -6.267558558e-05, 0.01844447964, -0.1093198604, -9.442068012e-05, -0.1480611636, -0.07482328429, 0.07763625878, 0.02240606724]",0.002,0.02,700.0,1000.0,,,,,,ElasticNet_1e-1
optimizer_comparison,nonlinear,sgd,5,none,0.0,0.0,1,True,1390.1518076748573,0.2482685970866145,0.2482685970866145,0.0,0.0,450,450,67500,0.8696374999999534,max_epochs_reached,False,"[0.1458359244, 2.468292441, 0.7151411576, -3.590318484, -0.2781637233, 1.097182645]",0.018,0.02,735.0,100.0,,,,,,
optimizer_comparison,nonlinear,mini_batch,5,none,0.0,0.0,32,True,1390.1518076748573,0.35351159761206913,0.35351159761206913,0.0,0.0,450,450,2250,0.04419929999858141,max_epochs_reached,False,"[0.1907187463, 0.9731937516, 0.5938204341, -1.578502703, -0.2685321563, 0.5118037761]",0.025,0.02,0.0,100.0,,,,,,
optimizer_comparison,nonlinear,gauss_newton,5,none,0.0,0.0,,True,1390.1518076748573,0.22470483415799086,0.22470483415799086,0.0,0.0,2,0,2,0.00014369998825713992,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,,,,,
optimizer_comparison,nonlinear,levenberg_marquardt,5,none,0.0,0.0,,True,1390.1518076748573,0.2247048341579907,0.2247048341579907,0.0,0.0,7,0,7,0.0006081000028643757,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,0.01,0.000625,5.0,1.0,
ill_conditioned_gn_lm,nonlinear,gauss_newton,10,none,0.0,0.0,,False,140945841.5484801,0.12057135167356971,0.12057135167356971,0.0,0.0,3,0,3,0.00022109999554231763,converged,True,"[-0.1058174297, 1.554614907, 1.044649376, -0.04800382356, 1.276591834, -1.766272237, -1.883083921, 0.8305395652, 0.6609718131, -0.09937139273, -0.07149110269]",,,,,solve,,,,,
ill_conditioned_gn_lm,nonlinear,levenberg_marquardt,10,none,0.0,0.0,,False,140945841.5484801,0.12057135167357011,0.12057135167357011,0.0,0.0,28,0,28,0.002145799997379072,converged,True,"[-0.1058174298, 1.554614907, 1.044649378, -0.04800382356, 1.276591831, -1.766272237, -1.883083919, 0.8305395652, 0.6609718126, -0.09937139273, -0.07149110265]",,,,,solve,0.1,25.6,10.0,18.0,
